id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
64;51;20;2;47;51;48;57;87050;730;1;0;-1;1;0;2.0;0;-3;5000.0;853;;0.251;4;4;4102;410207;871.16;0.195;797.9181;24276;;730;0.116438356;582.1917808;5120;0;4;6.8481;-3.675124402;0.0;0.0;0.0;0.5512;0;0;0;0;0;-0.2698;0;-0.013944134;0;0;0;0;0;31.20041712;0
66;51;23;2;48;52;9;58;7791;60;1;0;-1;1;0;2.0;0;2;5000.0;-1;;-3.0;9;3;3810;381005;-3.0;0.1017;549.4172;2152;;730;0.117808219;589.0410959;5123;0;0;6.8481;-3.675124402;0.0;0.0;0.0;0.0;0;0;0;0;0;-0.2698;0;-0.001236109;0;0;0;0;0;18.20942814;0
71;51;26;2;51;56;51;49;21051;901;1;0;-1;1;0;2.0;0;-3;5000.0;887;;-3.0;5;3;3301;330101;-3.0;-3.0;5104.9533;192065;;1096;0.333941606;1669.708029;5126;0;5;6.8481;-3.675124402;0.0;0.0;0.0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;5.086314302;0
76;51;28;2;51;55;51;62;49048;430;1;0;-1;1;0;2.0;0;-3;5000.0;902;;0.2425;8;2;2802;280201;1020.09;0.2236;3431.0561;14574;;730;0.119178082;595.890411;5128;0;6;6.8481;-3.675124402;0.0;0.0;0.0;0.0;0;0;0;0;0;-0.6866;0;-0.008371306;0;0;0;0;0;11.91745692;0
81;51;30;2;53;58;53;65;11740;0;1;0;-1;2;1;1.0;1;2;2000.0;910;;0.0602;9;3;3507;350701;-3.0;0.0602;158.9839;2163;;1096;0.333941606;667.8832117;5130;0;6;6.8481;-4.837868361;0.0;-0.4103;1.0144;0.5512;0;0;0;0;0;0.0;0;-0.001242427;0;0;0;0;0;23.67191234;0
87;51;32;2;56;61;55;69;24754;240;1;0;-1;1;0;1.0;1;2;5000.0;-1;;0.0;5;3;3301;330101;1956.71;0.0793;4106.2595;12080;;730;0.121917808;609.5890411;5132;0;0;6.8481;-3.675124402;0.0;0.0;1.0144;-0.7255;0;0;0;0;0;-0.4468;0;-0.006938752;0;0;0;0;0;20.24963657;0
92;51;34;2;62;68;62;19;71675;80;1;0;-1;1;0;1.0;1;2;25000.0;913;;0.0;1;5;5301;530101;5848.69;0.2565;489.9215;92951;;1096;0.333941606;8348.540146;5134;0;6;6.8481;-2.267676205;0.0;0.0;1.0144;0.0;0;0;0;0;0;-0.2698;0;-0.053391054;0;0;0;0;0;194.7336525;0
98;51;35;2;62;67;62;74;12232;700;1;0;-1;1;0;1.0;1;2;3000.0;488;;0.0019;9;3;3815;381506;542.87;0.1759;617.8879;21957;;730;0.124657534;373.9726027;5135;0;2;6.8481;-4.28377517;0.0;0.0;1.0144;0.5512;0;0;0;0;0;-0.2698;0;-0.012612101;0;0;0;0;0;46.87632398;0
101;51;36;2;62;67;59;74;36025;260;1;0;-1;1;0;2.0;0;-3;1531.0;31;;0.6936;3;3;3112;311201;1577.95;0.2937;381.6689;20235;;730;0.124657534;190.8506849;5136;0;0;6.8481;-5.241679811;0.0;0.0;0.0;0.2969;0;0;0;0;0;-0.2698;0;-0.011622984;0;0;0;0;0;5.062686165;0
107;51;38;2;62;68;62;75;9230;120;1;0;-1;1;0;2.0;0;-3;12000.0;912;;0.0252;9;3;3810;381007;1012.39;0.1776;4038.887;25376;;1096;0.333941606;4007.29927;5138;0;6;6.8481;-2.826237613;0.0;0.0;0.0;0.0;0;0;0;0;0;-0.6866;0;-0.014575974;0;0;0;0;0;27.6793435;0
112;51;39;2;64;70;64;77;13504;60;1;0;-1;1;0;2.0;0;-3;5000.0;787;;0.1788;9;3;3811;381103;1385.72;0.0647;396.9054;7226;;730;0.126027397;630.1369863;5139;0;3;6.8481;-3.675124402;0.0;0.0;0.0;0.8598;0;0;0;0;0;-0.2698;0;-0.004150614;0;0;0;0;0;42.89799053;0
115;51;41;2;64;70;64;77;18103;50;1;0;-1;1;0;2.0;0;-3;5000.0;833;;0.0783;9;3;3808;380804;859.54;0.0937;1415.3421;25320;;730;0.126027397;630.1369863;5141;0;4;6.8481;-3.675124402;0.0;0.0;0.0;0.5512;0;0;0;0;0;-0.2698;0;-0.014543808;0;0;0;0;0;31.18171267;0
120;51;45;2;2;2;2;2;5435;0;1;0;-1;1;0;2.0;0;-3;15000.0;899;;0.4873;9;3;3810;381007;2486.66;0.2825;7782.7236;565893;;730;0.128767123;1931.506849;5145;0;6;6.8481;-2.64323434;0.0;0.0;0.0;0.0;0;0;0;0;0;-0.7106;0;-0.325048939;0;0;0;0;0;23.78884374;0
125;51;49;2;5;5;21;6;7240;10;1;0;-1;1;0;1.0;1;2;5000.0;208;;0.0088;9;3;3810;381002;621.0;0.1184;4127.7037;30902;;1096;0.333941606;1669.708029;5149;0;0;6.8481;-3.675124402;0.0;0.0;1.0144;0.0;0;0;0;0;0;-0.4468;0;-0.017750109;0;0;0;0;0;41.3811511;0
