id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
95;51;34;64;30/08/2021 00:00;30/08/2024 00:00;30/08/2021 00:00;08/11/2023 00:00;71675;80;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;25000;913;;0;DF;5;5301;530101;5848.69;0.2565;489.9215;92951;;1096;0.333941606;8348.540146;5134;64-Vendaval;(894.0, 915.0];4.257353446;-0.78838712;0.297264283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.2168562;10.80421405
104;51;36;64;30/08/2021 00:00;30/08/2023 00:00;29/08/2022 00:00;30/08/2023 00:00;36025;260;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;31;;0.6936;MG;3;3112;311201;1577.95;0.2937;381.6689;20235;;730;0.124657534;623.2876712;5136;64-Vendaval;(-1.001, 236.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;1.366286988;0;0;0;0;0;0;0;0;0;0;0;0;0;17.04980829;4.262452072
109;51;38;64;30/08/2021 00:00;30/08/2024 00:00;30/08/2021 00:00;30/08/2024 00:00;9230;120;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;3000;912;;0.0252;SP;3;3810;381007;1012.39;0.1776;4038.887;25376;;1096;0.333941606;1001.824818;5138;64-Vendaval;(894.0, 915.0];4.257353446;-2.275877579;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.603512735;0.650878184
117;51;41;64;31/08/2021 00:00;31/08/2023 00:00;31/08/2021 00:00;31/08/2023 00:00;18103;50;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;833;;0.0783;SP;3;3808;380804;859.54;0.0937;1415.3421;25320;;730;0.126027397;630.1369863;5141;64-Vendaval;(821.0, 867.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.756138901;0;0;0;0;0;0;0;0;0;0;0;0;0;9.262656367;2.315664092
122;51;45;64;02/09/2021 00:00;02/09/2023 00:00;02/09/2021 00:00;02/09/2023 00:00;5435;0;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;899;;0.4873;SP;3;3810;381007;2486.66;0.2825;7782.7236;565893;;730;0.128767123;643.8356164;5145;64-Vendaval;(894.0, 915.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
127;51;49;64;03/09/2021 00:00;03/09/2024 00:00;09/09/2021 00:00;03/09/2024 00:00;7240;10;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;6000;208;;0.0088;SP;3;3810;381002;621;0.1184;4127.7037;30902;;1096;0.333941606;2003.649635;5149;64-Vendaval;(-1.001, 236.0];4.257353446;-1.609288469;0.297264283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.01692286;4.754230715
132;51;61;64;09/09/2021 00:00;09/09/2023 00:00;09/09/2021 00:00;09/09/2023 00:00;4363;1;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;326;;0.8999;SP;3;3810;381007;3882.6;0.2825;7782.7236;565893;;730;0.138356164;691.7808219;5161;64-Vendaval;(236.0, 484.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
137;50;62;64;23/11/2021 00:00;23/11/2023 00:00;23/11/2021 00:00;23/11/2023 00:00;18120;0;1;APOLICE NOVA;-1;2;VERANEIO;1;CASAS DE ALVENARIA;1;6000;889;;0.0204;SP;3;3808;380804;-3;0.0204;217.55;1087;;730;0.24109589;1446.575342;5062;64-Vendaval;(867.0, 894.0];4.257353446;-1.609288469;0.297264283;0;0;0.756138901;0;0;0;0;0;0;0.230843282;0;0;0;0;0;0;51.0247823;12.75619557
146;51;66;64;11/09/2021 00:00;11/09/2024 00:00;06/06/2022 00:00;11/09/2024 00:00;87505;143;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;6000;476;;-3;PR;4;4103;410303;1025.2;0.1026;87.0742;4850;;1096;0.333941606;2003.649635;5166;64-Vendaval;(236.0, 484.0];4.257353446;-1.609288469;0.297264283;0;0;0.898257109;0;0;0;0;0;0;0;0;0;0;0;0;0;46.6926315;11.67315788
152;51;67;64;12/09/2021 00:00;12/09/2023 00:00;12/09/2021 00:00;12/09/2023 00:00;3273;105;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;10000;958;;-3;SP;3;3810;381007;1218.25;0.2825;7782.7236;565893;;730;0.142465753;1424.657534;5167;64-Vendaval;(950.0, 1000.0];4.257353446;-1.246549488;0.297264283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.33227506;6.833068766
